Rank	Full Journal Title	Journal Impact Factor
153	PROGRESS IN RETINAL AND EYE RESEARCH	14.860
154	Annual Review of Condensed Matter Physics	14.833
155	Lancet HIV	14.813
156	Lancet Gastroenterology & Hepatology	14.789
156	Physics of Life Reviews	14.789
158	TRENDS IN ECOLOGY & EVOLUTION	14.764
159	TRENDS IN BIOCHEMICAL SCIENCES	14.732
160	Advances in Optics and Photonics	14.690
161	HEPATOLOGY	14.679
162	Annual Review of Cell and Developmental Biology	14.667
163	ENDOCRINE REVIEWS	14.661
164	JOURNAL OF THE AMERICAN CHEMICAL SOCIETY	14.612
165	ACS Nano	14.588
166	JOURNAL OF PINEAL RESEARCH	14.528
167	CIRCULATION RESEARCH	14.467
168	INTERNATIONAL MATERIALS REVIEWS	14.429
169	TRENDS IN PLANT SCIENCE	14.416
170	NEURON	14.415
171	TRENDS IN BIOTECHNOLOGY	14.343
172	International Review of Sport and Exercise Psychology	14.333
173	ACTA NEUROPATHOLOGICA	14.251
174	AMERICAN JOURNAL OF PSYCHIATRY	14.119
174	AMERICAN JOURNAL OF PSYCHIATRY	14.119
176	Annual Review of Ecology Evolution and Systematics	14.041
177	JAMA Pediatrics	13.946
178	IMMUNOLOGICAL REVIEWS	13.939
179	FEMS MICROBIOLOGY REVIEWS	13.920
180	Annual Review of Entomology	13.796
181	Light-Science & Applications	13.714
182	Annual Review of Clinical Psychology	13.692
182	Annual Review of Clinical Psychology	13.692
184	Information Fusion	13.669
185	Journal of Statistical Software	13.642
186	JAMA Surgery	13.625
187	JAMA Neurology	13.608
188	MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT	13.606
189	IEEE Industrial Electronics Magazine	13.593
190	Nature Geoscience	13.566
191	TRENDS IN MICROBIOLOGY	13.546
192	TRENDS IN PHARMACOLOGICAL SCIENCES	13.503
193	MALACOLOGIA	13.500
194	Signal Transduction and Targeted Therapy	13.493
195	Science Immunology	13.440
196	TRENDS IN IMMUNOLOGY	13.422
197	PROGRESS IN PARTICLE AND NUCLEAR PHYSICS	13.421
198	Journal of Thoracic Oncology	13.357
199	ADVANCED DRUG DELIVERY REVIEWS	13.300
200	Nature Plants	13.256
201	Science Advances	13.116
202	IEEE Geoscience and Remote Sensing Magazine	13.000
203	ANGEWANDTE CHEMIE-INTERNATIONAL EDITION	12.959
204	TRENDS IN NEUROSCIENCES	12.891
205	Kidney International Supplements	12.818
206	JAMA Cardiology	12.794
207	JACC-Cardiovascular Imaging	12.740
208	ACS Central Science	12.685
209	HUMAN REPRODUCTION UPDATE	12.684
210	Annual Review of Phytopathology	12.623
211	Nature Chemical Biology	12.587
212	Physical Review X	12.577
213	MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS	12.568
214	Annual Review of Neuroscience	12.547
215	Nature Ecology & Evolution	12.541
216	Annual Review of Materials Research	12.531
217	MOLECULAR PSYCHIATRY	12.384
218	ACS Catalysis	12.350
219	EUROPEAN RESPIRATORY JOURNAL	12.339
220	Ocular Surface	12.336
221	PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW	12.321
222	Materials Horizons	12.319
223	Nature Human Behaviour	12.282
223	Nature Human Behaviour	12.282
225	Nano-Micro Letters	12.264
226	Small Methods	12.130
227	Nature Communications	12.121
228	RENEWABLE & SUSTAINABLE ENERGY REVIEWS	12.110
229	BIOLOGICAL PSYCHIATRY	12.095
230	Molecular Plant	12.084
231	Nature Sustainability	12.080
231	Nature Sustainability	12.080
233	BRITISH JOURNAL OF SPORTS MEDICINE	12.022
234	NATURAL PRODUCT REPORTS	12.000
235	BASIC RESEARCH IN CARDIOLOGY	11.981
236	NATURE STRUCTURAL & MOLECULAR BIOLOGY	11.980
237	JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS	11.952
238	Academy of Management Annals	11.865
239	JOURNAL OF CLINICAL INVESTIGATION	11.864
240	JOURNAL OF EXPERIMENTAL MEDICINE	11.743
241	Annual Review of Biophysics	11.685
242	TRENDS IN ENDOCRINOLOGY AND METABOLISM	11.641
243	EUROPEAN JOURNAL OF HEART FAILURE	11.627
244	Microbiome	11.607
245	JNCI-Journal of the National Cancer Institute	11.577
246	Nature Astronomy	11.518
247	Bone Research	11.508
248	NUCLEIC ACIDS RESEARCH	11.501
249	Small	11.459
250	SIAM REVIEW	11.431
251	IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS	11.420
252	IEEE WIRELESS COMMUNICATIONS	11.391
253	CATALYSIS REVIEWS-SCIENCE AND ENGINEERING	11.389
254	QUARTERLY JOURNAL OF ECONOMICS	11.375
255	IEEE SIGNAL PROCESSING MAGAZINE	11.350
256	BRAIN	11.337
257	TRENDS IN GENETICS	11.333
258	Journal of Materials Chemistry A	11.301
259	Annual Review of Pharmacology and Toxicology	11.250
260	NANO LETTERS	11.238
261	IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION	11.169
262	MEDICAL IMAGE ANALYSIS	11.148
263	Annual Review of Genetics	11.146
264	TRENDS IN MOLECULAR MEDICINE	11.099
265	GENOME RESEARCH	11.093
265	Trends in Cancer	11.093
